A g0 t0 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:1
A g0 t1 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:1
A g0 t2 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t3 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t4 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t5 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t6 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t7 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t8 l-1 st0 out0 val1 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:2
A g0 t9 l-1 st0 out0 val1 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:2
A g0 t10 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:1
A g0 t11 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:1
A g0 t12 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t13 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t14 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t15 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:0
A g0 t16 l-1 st0 out0 val1 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:2
A g0 t17 l-1 st0 out0 val1 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:2
A g0 t18 l-1 st0 out0 val1 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:2
A g0 t19 l-1 st0 out0 val1 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:2
A g0 t20 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:1
A g0 t21 l-1 st0 out0 val0 w3 m1 a1 p1 H0.000000 | acq:0:1:3 mea:0:1
