id	parent	made	change	values	dev_levels	dev_score	held_score	verdict
0	-	2026-09-19 18:40	the child as it was	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "0", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "0", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "1", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "1", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "1", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "48u"}	12.5	0.4776	0.4189	in-use
1	0	2026-09-19 19:32	SELF_OFF_CURIOUS 0->1	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "0", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "1", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "1", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "1", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "48u"}	12.5	0.6899	0.2535	archived
2	1	2026-09-19 20:36	SELF_WATCH 48u->0u	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "0", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "1", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "1", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "1", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "0u"}	12.5	0.6899	0.2535	archived
3	2	2026-09-19 21:34	SELF_OFF_SKIP 1->0	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "0", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "1", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "1", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "0u"}	13.0	0.7022	0.2405	archived
4	3	2026-09-19 22:35	SELF_OFF_PANELS 1->0; SELF_BOLD 0->1	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "1", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "0u"}	13.0	0.7027	0.2405	archived
5	4	2026-09-19 23:34	SELF_RESTLESS_WINDOW 12u->24u; SELF_FEW_SITUATIONS 64u->32u; SELF_MATCH_WEIGHT 8.0->4.0	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "32u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "4.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "1", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "24u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "0u"}	13.5	0.7137	0.2404	archived
6	5	2026-09-20 00:45	SELF_BOLD 1->0	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "0", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "32u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "4.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "1", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "24u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "0u"}	13.5	0.7137	0.2404	archived
7	5	2026-09-20 01:36	SELF_OFF_THEORY 1->0; SELF_OFF_REPLAY 1->0	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "32u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "4.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "0", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "24u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "0u"}	12.5	0.6587	0.3266	archived
8	6	2026-09-20 02:35	SELF_OFF_REACH 0->1; SELF_OFF_CLOCK 0->1	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "0", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "32u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "4.0", "SELF_OFF_CLOCK": "1", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "1", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "1", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "24u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "0u"}	0	0.0000	-	failed-checks
9	6	2026-09-20 03:35	SELF_MATCH_WEIGHT 4.0->16.0	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "0", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "32u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "16.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "1", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "1", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "24u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "0", "SELF_WATCH": "0u"}	0	0.0000	-	failed-checks
