id	parent	made	change	values	dev_levels	dev_score	held_score	verdict
0	-	2026-09-19 19:48	the child as it was	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "0", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "0", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	12.0	0.4580	0.4113	in-use
1	0	2026-09-19 20:10	SELF_OFF_WINDOW 0->1	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "0", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	12.0	0.4580	0.4113	archived
2	1	2026-09-19 22:28	SELF_FEW_SITUATIONS 64u->32u	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "32u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "0", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	10.5	0.4509	0.4113	archived
3	1	2026-09-19 22:34	SELF_OFF_CLOCK 0->1; SELF_DEATH_RETRIES 10u->20u	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "20u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "1", "SELF_OFF_CURIOUS": "0", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "1", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	0	0.0000	-	failed-checks
4	0	2026-09-19 22:48	SELF_OFF_RECALL 0->1	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "8.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "0", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "1", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "0", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "0", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	12.0	0.4580	0.4113	archived
5	0	2026-09-19 22:57	SELF_MATCH_WEIGHT 8.0->0.0; SELF_OFF_CURIOUS 0->1; SELF_OFF_STOOD 0->1	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "10u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "0.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "1", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "0", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	11.5	0.6401	0.2490	archived
6	5	2026-09-19 23:06	SELF_SHIFT_SURE 2u->3u; SELF_DEATH_RETRIES 10u->0u	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "0u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "0.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "1", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "0", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "3u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	12.0	0.6424	0.2490	archived
7	6	2026-09-19 23:14	SELF_OFF_REACH 0->1; SELF_SHIFT_SURE 3u->2u; SELF_TICK_MAX 8u->16u	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "0u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "24u", "SELF_MATCH_WEIGHT": "0.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "1", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "1", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "0", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "2u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "16u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	9.0	0.2847	0.4105	archived
8	6	2026-09-19 23:23	SELF_KEEP_ACTS 24u->40u	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "1", "SELF_DEATH_RETRIES": "0u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "40u", "SELF_MATCH_WEIGHT": "0.0", "SELF_OFF_CLOCK": "0", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "1", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "0", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "3u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	12.0	0.6424	0.2490	archived
9	8	2026-09-19 23:26	SELF_BOLD 1->0; SELF_OFF_CLOCK 0->1	{"SELF_BODY_VOTES": "3u", "SELF_BOLD": "0", "SELF_DEATH_RETRIES": "0u", "SELF_FEW_SITUATIONS": "64u", "SELF_FRESH_STARTS": "3u", "SELF_KEEP_ACTS": "40u", "SELF_MATCH_WEIGHT": "0.0", "SELF_OFF_CLOCK": "1", "SELF_OFF_CURIOUS": "1", "SELF_OFF_DEATHS": "0", "SELF_OFF_NEAR": "0", "SELF_OFF_PANELS": "0", "SELF_OFF_PLAN": "0", "SELF_OFF_REACH": "0", "SELF_OFF_RECALL": "0", "SELF_OFF_REDRAW": "0", "SELF_OFF_REPLAY": "1", "SELF_OFF_RESTLESS": "0", "SELF_OFF_SKIP": "0", "SELF_OFF_STOOD": "1", "SELF_OFF_THEORY": "0", "SELF_OFF_UNMASK": "0", "SELF_OFF_WINDOW": "0", "SELF_RESTLESS_WINDOW": "12u", "SELF_SHIFT_SURE": "3u", "SELF_SKIP_TAU": "0.75", "SELF_TICK_MAX": "8u", "SELF_TIE_MODE": "1u", "SELF_USE_LIVE": "1", "SELF_WATCH": "48u"}	0	0.0000	-	failed-checks
