when	game	colour	cells	act	family	arg	sightings	if_so	if_not	suggested_by
2026-09-24 15:53	ar25	11	59	1	size	60	11	do any of 2 things	do any of 69 things	its own study
2026-09-24 15:53	ar25	11	45	4	size	46	27	do any of 2 things	do any of 69 things	its own study
2026-09-24 15:53	ar25	11	45	4	many	192	27	do any of 69 things	do any of 2 things	its own study
2026-09-24 15:53	ar25	10	63	1	size	126	19	do any of 156 things	do any of 2 things	its own study
2026-09-24 15:53	ar25	0	1	3	near	162	48	stay where it is	do any of 2 things	library
2026-09-24 15:53	ar25	0	1	3	near	163	48	stay where it is	do any of 2 things	library
2026-09-24 15:53	ar25	0	1	3	near	164	48	stay where it is	do any of 2 things	library
2026-09-24 15:53	ar25	10	117	2	ahead	5	13	do any of 2 things	do any of 139 things	library
2026-09-24 15:53	ar25	10	189	4	ahead	37	16	do any of 2 things	do any of 256 things	library
2026-09-24 15:53	ar25	10	189	4	ahead	52	16	do any of 2 things	do any of 256 things	library
2026-09-24 15:53	ar25	10	189	3	ahead	36	40	do any of 2 things	stay where it is	library
2026-09-24 15:53	ar25	10	189	3	ahead	53	40	do any of 2 things	stay where it is	library
2026-09-24 15:53	ar25	10	189	3	ahead	36	16	do any of 2 things	do any of 256 things	library
2026-09-24 15:53	ar25	10	189	3	ahead	53	16	do any of 2 things	do any of 256 things	library
2026-09-24 15:53	bp35	3	1	3	touch	14	48	do any of 126 things	do any of 70 things	library
2026-09-24 15:53	bp35	3	1	3	nth	1426	48	do any of 28 things	do any of 299 things	its own study
2026-09-24 15:53	bp35	3	1	3	nth	1427	48	do any of 28 things	do any of 289 things	its own study
2026-09-24 15:53	bp35	15	1	3	ahead	16	15	change size	do any of 283 things	library
2026-09-24 15:53	bp35	15	1	3	ahead	21	15	change size	do any of 283 things	library
2026-09-24 15:53	bp35	15	1	3	ahead	37	15	change size	do any of 283 things	library
2026-09-24 15:53	bp35	3	1	6	nth	398	48	do any of 4 things	do any of 27 things	its own study
2026-09-24 15:53	bp35	5	24	6	cycle	48	4	stay where it is	do any of 2 things	library
2026-09-24 15:53	bp35	15	15	7	ahead	16	17	change size	do any of 211 things	library
2026-09-24 15:53	bp35	15	15	7	ahead	21	17	change size	do any of 211 things	library
2026-09-24 15:53	bp35	15	15	7	ahead	37	17	change size	do any of 211 things	library
2026-09-24 15:53	bp35	15	215	6	ahead	16	48	change size	do any of 211 things	library
2026-09-24 15:53	bp35	15	215	6	ahead	21	48	change size	do any of 211 things	library
2026-09-24 15:53	bp35	15	215	6	ahead	37	48	change size	do any of 211 things	library
2026-09-24 15:53	bp35	5	4	7	nth	33	48	move 0 down and -6 across unless something is in the way	do any of 3 things	its own study
2026-09-24 15:53	bp35	5	4	7	nth	34	48	move 0 down and -6 across unless something is in the way	do any of 3 things	its own study
2026-09-24 15:53	bp35	5	4	7	nth	35	48	move 0 down and -6 across unless something is in the way	do any of 3 things	its own study
2026-09-24 15:53	bp35	15	10	4	ahead	16	25	change size	do any of 211 things	library
2026-09-24 15:53	bp35	15	10	4	ahead	21	25	change size	do any of 211 things	library
2026-09-24 15:53	bp35	15	10	4	ahead	37	25	change size	do any of 211 things	library
2026-09-24 15:53	cd82	4	62	1	cycle	65	6	do any of 2 things	do any of 289 things	library
2026-09-24 15:53	cd82	15	85	5	ahead	18	10	change size	do any of 289 things	library
2026-09-24 15:53	cd82	15	85	5	near	35	10	change size	do any of 289 things	library
2026-09-24 15:53	cd82	15	85	5	size	85	10	change size	do any of 289 things	its own study
2026-09-24 15:53	cd82	4	55	5	cycle	67	8	do any of 2 things	do any of 289 things	library
2026-09-24 15:53	cd82	4	54	6	cycle	67	8	do any of 2 things	do any of 289 things	library
2026-09-24 15:53	cd82	15	85	6	ahead	18	12	change size	do any of 289 things	library
2026-09-24 15:53	cd82	15	85	6	near	35	12	change size	do any of 289 things	library
2026-09-24 15:53	cd82	15	85	6	size	85	12	change size	do any of 289 things	its own study
2026-09-24 15:53	cd82	15	84	4	ahead	34	11	change size	do any of 283 things	library
2026-09-24 15:53	cd82	15	84	1	ahead	18	14	change size	do any of 289 things	library
2026-09-24 15:53	cd82	15	85	2	ahead	18	7	change size	do any of 289 things	library
2026-09-24 15:53	cd82	15	85	2	near	35	7	change size	do any of 289 things	library
2026-09-24 15:53	cd82	15	85	2	size	85	7	change size	do any of 289 things	its own study
2026-09-24 15:53	cd82	2	43	1	cycle	32	4	do any of 289 things	change size	library
2026-09-24 15:53	cd82	2	43	1	cycle	33	4	change size	do any of 289 things	library
2026-09-24 15:53	cd82	2	43	1	near	82	4	do any of 289 things	change size	library
2026-09-24 15:53	cd82	4	28	6	size	29	43	do any of 2 things	do any of 205 things	its own study
2026-09-24 15:53	cd82	0	85	4	many	242	17	do any of 284 things	change size	its own study
2026-09-24 15:53	cd82	2	43	2	near	82	8	change size	do any of 289 things	library
2026-09-24 15:53	cd82	0	84	6	cycle	65	6	do any of 2 things	do any of 289 things	library
2026-09-24 15:53	cd82	2	30	1	near	34	10	do any of 3 things	change size	library
2026-09-24 15:53	cd82	2	30	1	near	83	10	do any of 3 things	change size	library
2026-09-24 15:53	cd82	0	84	1	ahead	18	35	change size	stay where it is	library
2026-09-24 15:53	cd82	2	30	2	near	34	6	do any of 3 things	change size	library
2026-09-24 15:53	cd82	2	30	2	near	83	6	do any of 3 things	change size	library
2026-09-24 15:53	cd82	2	30	4	ahead	63	5	change size	do any of 289 things	library
2026-09-24 15:53	cd82	2	30	4	cycle	64	5	change size	do any of 289 things	library
2026-09-24 15:53	cd82	2	30	4	near	34	5	change size	do any of 289 things	library
2026-09-24 15:53	cd82	15	65	6	ahead	0	9	change size	stay where it is	library
2026-09-24 15:53	cd82	15	65	6	ahead	48	9	change size	stay where it is	library
2026-09-24 15:53	cd82	0	85	1	ahead	5	6	change size	stay where it is	library
2026-09-24 15:53	cd82	0	85	1	ahead	53	6	change size	stay where it is	library
2026-09-24 15:53	cd82	0	85	4	ahead	53	4	change size	stay where it is	library
2026-09-24 15:53	cd82	0	85	4	cycle	32	4	change size	stay where it is	library
2026-09-24 15:53	cd82	0	85	4	cycle	33	4	stay where it is	change size	library
